,attribute
2199,InterestIncomeExpenseNet
2200,InterestIncomeExpenseNonoperatingNet
2201,InterestIncomeFederalFundsSoldAndSecuritiesPurchasedUnderAgreementsToResell
2202,InterestIncomeOperating
2203,InterestIncomeOther
2204,InterestIncomeSecuritiesTaxExempt
2205,InterestIncomeSecuritiesTaxable
2206,InterestOnConvertibleDebtNetOfTax
2207,InterestPaid
2208,InterestPaidCapitalized
2209,InterestPaidNet
2210,InterestPayableCurrent
2211,InterestPayableCurrentAndNoncurrent
2212,InterestRateCashFlowHedgeGainLossToBeReclassifiedDuringNext12MonthsNet
2213,InterestRateCashFlowHedgeLiabilityAtFairValue
2214,InterestRateDerivativeAssetsAtFairValue
2215,InterestRateDerivativeLiabilitiesAtFairValue
2216,InterestRateDerivativesAtFairValueNet
2217,InterestReceivable
2218,InterestReceivableCurrent
2219,InterestRevenueExpense
2220,InterestRevenueExpenseNet
2221,InterestsContinuedToBeHeldByTransferorFairValue
2222,InventoryAdjustments
2223,InventoryCrudeOilProductsAndMerchandise
2224,InventoryFinishedGoods
2225,InventoryFinishedGoodsAndWorkInProcess
2226,InventoryFinishedGoodsNetOfReserves
2227,InventoryGross
2228,InventoryLIFOReserve
2229,InventoryLIFOReserveEffectOnIncomeNet
2230,InventoryLIFOReservePeriodCharge
2231,InventoryNet
2232,InventoryNoncurrent
2233,InventoryPartsAndComponents
2234,InventoryPartsAndComponentsNetOfReserves
2235,InventoryRawMaterials
2236,InventoryRawMaterialsAndPurchasedPartsNetOfReserves
2237,InventoryRawMaterialsAndSupplies
2238,InventoryRawMaterialsAndSuppliesNetOfReserves
2239,InventoryRawMaterialsNetOfReserves
2240,InventorySuppliesNetOfReserves
2241,InventoryValuationReserves
2242,InventoryWorkInProcess
2243,InventoryWorkInProcessAndRawMaterials
2244,InventoryWorkInProcessAndRawMaterialsNetOfReserves
2245,InventoryWorkInProcessNetOfReserves
2246,InventoryWriteDown
2247,InvestmentAdvisoryFees
2248,InvestmentAdvisoryManagementAndAdministrativeFees
2249,InvestmentBankingRevenue
2250,InvestmentIncomeDividend
2251,InvestmentIncomeInterest
2252,InvestmentIncomeInterestAndDividend
2253,InvestmentIncomeNet
2254,InvestmentIncomeNonoperating
2255,InvestmentInterestRate
2256,InvestmentOwnedAtCost
2257,InvestmentOwnedAtFairValue
2258,InvestmentOwnedBalanceContracts
2259,InvestmentTaxCredit
2260,Investments
2261,InvestmentsAndCash
2262,InvestmentsAndOtherNoncurrentAssets
2263,InvestmentsFairValueDisclosure
2264,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures
2265,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVenturesFairValueDisclosure
2266,InvestmentsInAndAdvancesToAffiliatesAmountOfEquity
2267,InvestmentsInAndAdvancesToAffiliatesBalancePrincipalAmount
2268,IssuanceOfStockAndWarrantsForServicesOrClaims
2269,JuniorSubordinatedDebentureOwedToUnconsolidatedSubsidiaryTrust
2270,LIFOInventoryAmount
2271,LaborAndRelatedExpense
2272,Land
2273,LandAndLandImprovements
2274,LandAvailableForSale
2275,LateFeeIncomeGeneratedByServicingFinancialAssetsAmount
2276,LeaseAndRentalExpense
2277,LeaseCost
2278,LeaseIncome
2279,LeaseholdImprovementsGross
2280,LeasesReceivableCommercialLeaseFinancing
2281,LegalFees
2282,LesseeOperatingLeaseLiabilityPaymentsDue
2283,LesseeOperatingLeaseLiabilityPaymentsDueAfterRollingYearFive
2284,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive
2285,LesseeOperatingLeaseLiabilityPaymentsDueInRollingYearFive
2286,LesseeOperatingLeaseLiabilityPaymentsDueInRollingYearFour
2287,LesseeOperatingLeaseLiabilityPaymentsDueInRollingYearThree
2288,LesseeOperatingLeaseLiabilityPaymentsDueInRollingYearTwo
2289,LesseeOperatingLeaseLiabilityPaymentsDueNextRollingTwelveMonths
2290,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths
2291,LesseeOperatingLeaseLiabilityPaymentsDueYearFive
2292,LesseeOperatingLeaseLiabilityPaymentsDueYearFour
2293,LesseeOperatingLeaseLiabilityPaymentsDueYearThree
2294,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo
2295,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear
2296,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount
2297,LessorOperatingLeasePaymentsToBeReceived
2298,LessorOperatingLeasePaymentsToBeReceivedFiveYears
2299,LessorOperatingLeasePaymentsToBeReceivedFourYears
2300,LessorOperatingLeasePaymentsToBeReceivedNextRollingTwelveMonths
2301,LessorOperatingLeasePaymentsToBeReceivedNextTwelveMonths
2302,LessorOperatingLeasePaymentsToBeReceivedRemainderOfFiscalYear
2303,LessorOperatingLeasePaymentsToBeReceivedRollingYearTwo
2304,LessorOperatingLeasePaymentsToBeReceivedThereafter
2305,LessorOperatingLeasePaymentsToBeReceivedThreeYears
2306,LessorOperatingLeasePaymentsToBeReceivedTwoYears
2307,LettersOfCreditOutstandingAmount
2308,LeveragedLeasesBalanceSheetInvestmentInLeveragedLeasesNet
2309,Liabilities
2310,LiabilitiesAndStockholdersEquity
2311,LiabilitiesAssumed
2312,LiabilitiesAssumed1
2313,LiabilitiesCurrent
2314,LiabilitiesFairValueAdjustment
2315,LiabilitiesFairValueDisclosure
2316,LiabilitiesFairValueDisclosureNonrecurring
2317,LiabilitiesFairValueDisclosureRecurring
2318,LiabilitiesNoncurrent
2319,LiabilitiesOfAssetsHeldForSale
2320,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation
2321,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent
2322,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent
2323,LiabilitiesOtherThanLongtermDebtNoncurrent
2324,LiabilitiesRelatedToInvestmentContractsFairValueDisclosure
2325,LiabilitiesSubjectToCompromise
2326,LiabilitiesSubjectToCompromiseEarlyContractTerminationFees
2327,LiabilitiesSubjectToCompromiseProvisionForExpectedAndAllowedClaims
2328,LiabilityForAsbestosAndEnvironmentalClaimsNet
2329,LiabilityForClaimsAndClaimsAdjustmentExpense
2330,LiabilityForClaimsAndClaimsAdjustmentExpensePropertyCasualtyLiability
2331,LiabilityForFuturePolicyBenefits
2332,LiabilityForFuturePolicyBenefitsLiabilitiesAssumed
2333,LiabilityForUncertainTaxPositionsCurrent
2334,LiabilityForUncertainTaxPositionsNoncurrent
2335,LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseBusinessAcquisitions
2336,LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseClaimsPaid
2337,LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseClaimsPaidCurrentYear
2338,LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseClaimsPaidCurrentYear1
2339,LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseClaimsPaidPriorYears
2340,LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseClaimsPaidPriorYears1
2341,LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseForeignCurrencyTranslationGainLoss
2342,LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredButNotReportedIBNRClaimsAmount
2343,LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredClaims
2344,LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredClaims1
2345,LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredClaimsCurrentYear
2346,LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredClaimsPriorYears
2347,LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseNet
2348,LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseOpeningBalanceAdjustments
2349,LicenseAndMaintenanceRevenue
2350,LicenseCosts
2351,LicensesRevenue
2352,LifeInsuranceCorporateOrBankOwnedAmount
2353,LineOfCredit
2354,LineOfCreditFacilityAmountOutstanding
2355,LineOfCreditFacilityAverageOutstandingAmount
2356,LineOfCreditFacilityCapacityAvailableForSpecificPurposeOtherThanForTradePurchases
2357,LineOfCreditFacilityCommitmentFeePercentage
2358,LineOfCreditFacilityCurrentBorrowingCapacity
2359,LineOfCreditFacilityFairValueOfAmountOutstanding
2360,LineOfCreditFacilityIncreaseDecreaseForPeriodNet
2361,LineOfCreditFacilityInterestRateAtPeriodEnd
2362,LineOfCreditFacilityInterestRateDuringPeriod
2363,LineOfCreditFacilityMaximumAmountOutstandingDuringPeriod
2364,LineOfCreditFacilityMaximumBorrowingCapacity
2365,LineOfCreditFacilityPeriodicPaymentInterest
2366,LineOfCreditFacilityRemainingBorrowingCapacity
2367,LineOfCreditFacilityUnusedCapacityCommitmentFeePercentage
2368,LinesOfCreditCurrent
2369,LinesOfCreditFairValueDisclosure
2370,LitigationReserve
2371,LitigationReserveCurrent
2372,LitigationReserveNoncurrent
2373,LitigationSettlementAmount
2374,LitigationSettlementAmountAwardedFromOtherParty
2375,LitigationSettlementAmountAwardedToOtherParty
2376,LitigationSettlementExpense
2377,LitigationSettlementGross
2378,LitigationSettlementInterest
2379,LoansAndLeasesReceivableAllowance
2380,LoansAndLeasesReceivableBeforeFeesGross
2381,LoansAndLeasesReceivableCommercial
2382,LoansAndLeasesReceivableCommercialGovernments
2383,LoansAndLeasesReceivableConsumer
2384,LoansAndLeasesReceivableConsumerHomeEquity
2385,LoansAndLeasesReceivableConsumerLeaseFinancing
2386,LoansAndLeasesReceivableConsumerMortgage
2387,LoansAndLeasesReceivableConsumerOther
2388,LoansAndLeasesReceivableConsumerRevolvingCreditCard
2389,LoansAndLeasesReceivableDeferredIncome
2390,LoansAndLeasesReceivableForeignCommercial
2391,LoansAndLeasesReceivableGrossCarryingAmountCommercial
2392,LoansAndLeasesReceivableGrossCarryingAmountConsumer
2393,LoansAndLeasesReceivableImpairedAllowanceForLoanLosses
2394,LoansAndLeasesReceivableImpairedAtCarryingValue
2395,LoansAndLeasesReceivableImpairedAverageInvestment
2396,LoansAndLeasesReceivableImpairedCommitmentToLend
2397,LoansAndLeasesReceivableImpairedEndOfPeriodInAllowanceForLoanLoss
2398,LoansAndLeasesReceivableImpairedEndOfPeriodNotInAllowanceForLoanLoss
2399,LoansAndLeasesReceivableImpairedInterestIncomeCashBasisMethod
2400,LoansAndLeasesReceivableImpairedInterestIncomeRecognized
2401,LoansAndLeasesReceivableImpairedInterestIncomeRecognizedChangeInPresentValueAttributableToPassageOfTime
2402,LoansAndLeasesReceivableImpairedNonperformingNonaccrualOfInterest
2403,LoansAndLeasesReceivableImpairedNonperformingOver90DaysAccrualOfInterest
2404,LoansAndLeasesReceivableNetOfDeferredIncome
2405,LoansAndLeasesReceivableNetReportedAmount
2406,LoansAndLeasesReceivableOther
2407,LoansAndLeasesReceivableOtherNetOfDeferredIncome
2408,LoansAndLeasesReceivableRelatedParties
2409,LoansAssumed1
2410,LoansHeldForSaleConsumerInstallmentStudent
2411,LoansHeldForSaleFairValueDisclosure
2412,LoansHeldForSaleMortgages
2413,LoansHeldForSaleOther
2414,LoansPayable
2415,LoansPayableCurrent
2416,LoansPayableToBank
2417,LoansPayableToBankCurrent
2418,LoansPledgedAsCollateral
2419,LoansReceivableCommercialAndIndustrial
2420,LoansReceivableCommercialRealEstate
2421,LoansReceivableFairValueDisclosure
2422,LoansReceivableHeldForSaleAmount
2423,LoansReceivableHeldForSaleNet
2424,LoansReceivableHeldForSaleNetNotPartOfDisposalGroup
2425,LoansReceivableHeldForSaleNetNotPartOfDisposalGroupMortgage
2426,LoansReceivableHeldForSaleNetNotPartOfDisposalGroupOther
2427,LoansReceivableHeldForSaleReconciliationToCashFlowAdditionsToHeldForSale
2428,LoansReceivableNet
2429,LongLivedAssetsHeldForSaleGainLossOnSale
2430,LongLivedAssetsHeldForSaleProceedsFromSale
2431,LongTermAccountsNotesAndLoansReceivableNetNoncurrent
2432,LongTermCommercialPaperCurrent
2433,LongTermDebt
2434,LongTermDebtAndCapitalLeaseObligations
2435,LongTermDebtAndCapitalLeaseObligationsCurrent
2436,LongTermDebtAndCapitalLeaseObligationsIncludingCurrentMaturities
2437,LongTermDebtAndCapitalLeaseObligationsMaturitiesRepaymentsOfPrincipalAfterYearFive
2438,LongTermDebtAndCapitalLeaseObligationsMaturitiesRepaymentsOfPrincipalInYearFive
2439,LongTermDebtAndCapitalLeaseObligationsMaturitiesRepaymentsOfPrincipalInYearFour
2440,LongTermDebtAndCapitalLeaseObligationsMaturitiesRepaymentsOfPrincipalInYearThree
2441,LongTermDebtAndCapitalLeaseObligationsMaturitiesRepaymentsOfPrincipalInYearTwo
2442,LongTermDebtAndCapitalLeaseObligationsRepaymentsOfPrincipalInNextTwelveMonths
2443,LongTermDebtCurrent
2444,LongTermDebtFairValue
2445,LongTermDebtMaturingInYearsFourAndFive
2446,LongTermDebtMaturingInYearsTwoAndThree
2447,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive
2448,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextRollingTwelveMonths
2449,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths
2450,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingAfterYearFive
2451,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearFive
2452,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearFour
2453,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearFourAndFive
2454,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearThree
2455,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearTwo
2456,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearTwoAndThree
2457,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive
2458,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour
2459,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree
2460,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo
2461,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear
2462,LongTermDebtNoncurrent
2463,LongTermDebtPercentageBearingFixedInterestRate
2464,LongTermDebtPercentageBearingVariableInterestRate
2465,LongTermInvestments
2466,LongTermInvestmentsAndReceivablesNet
2467,LongTermLineOfCredit
2468,LongTermLoansFromBank
2469,LongTermLoansPayable
2470,LongTermNotesAndLoans
2471,LongTermNotesPayable
2472,LongTermPurchaseCommitmentAmount
2473,LongtermDebtWeightedAverageInterestRate
2474,LossContingencyAccrualAtCarryingValue
2475,LossContingencyAccrualCarryingValueCurrent
2476,LossContingencyAccrualCarryingValuePayments
2477,LossContingencyAccrualCarryingValuePeriodIncreaseDecrease
2478,LossContingencyAccrualCarryingValueProvision
2479,LossContingencyAccrualPayments
2480,LossContingencyAccrualProvision
2481,LossContingencyClaimsDismissedNumber
2482,LossContingencyClaimsSettledAndDismissedNumber
2483,LossContingencyClaimsSettledNumber
2484,LossContingencyDamagesAwardedValue
2485,LossContingencyDamagesPaidValue
2486,LossContingencyDamagesSoughtValue
2487,LossContingencyEstimateOfPossibleLoss
2488,LossContingencyLossInPeriod
2489,LossContingencyNewClaimsFiledNumber
2490,LossContingencyNumberOfDefendants
2491,LossContingencyNumberOfPlaintiffs
2492,LossContingencyPatentsAllegedlyInfringedNumber
2493,LossContingencyPendingClaimsNumber
2494,LossContingencyRangeOfPossibleLossMaximum
2495,LossContingencyRangeOfPossibleLossMinimum
2496,LossContingencyRangeOfPossibleLossPortionNotAccrued
2497,LossContingencyReceivable
2498,LossContingencyRelatedReceivableCarryingValue
2499,LossContingencySettlementAgreementConsideration1
2500,LossOnContractTermination
2501,LossOnDiscontinuationOfCashFlowHedgeDueToForecastedTransactionProbableOfNotOccurring
2502,LossOnFairValueHedgeIneffectiveness
2503,LossOnSaleOfInvestments
2504,MachineryAndEquipmentGross
2505,MaintenanceRevenue
2506,ManufacturingCosts
2507,MarketableSecurities
2508,MarketableSecuritiesCurrent
2509,MarketableSecuritiesEquitySecurities
2510,MarketableSecuritiesFixedMaturities
2511,MarketableSecuritiesGainLoss
2512,MarketableSecuritiesNoncurrent
2513,MarketableSecuritiesRealizedGainLoss
2514,MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments
2515,MarketableSecuritiesRealizedGainLossOtherThanTemporaryImpairmentsAmount
2516,MarketableSecuritiesUnrealizedGainLoss
2517,MarketingAndAdvertisingExpense
2518,MarketingExpense
2519,MaterialsSuppliesAndOther
2520,MaximumPotentialFutureExposureOnCreditRiskDerivatives
2521,MinimumLeasePaymentsSaleLeasebackTransactions
2522,MinimumLeasePaymentsSaleLeasebackTransactionsDueInRollingAfterYearFive
2523,MinimumLeasePaymentsSaleLeasebackTransactionsNextRollingTwelveMonths
2524,MinimumLeasePaymentsSaleLeasebackTransactionsThereafter
2525,MinimumLeasePaymentsSaleLeasebackTransactionsWithinFiveYears
2526,MinimumLeasePaymentsSaleLeasebackTransactionsWithinFourYears
2527,MinimumLeasePaymentsSaleLeasebackTransactionsWithinOneYear
2528,MinimumLeasePaymentsSaleLeasebackTransactionsWithinThreeYears
2529,MinimumLeasePaymentsSaleLeasebackTransactionsWithinTwoYears
2530,MinorityInterest
2531,MinorityInterestAmountRepresentedByPreferredStock
2532,MinorityInterestChangeInRedemptionValue
2533,MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders
2534,MinorityInterestDecreaseFromRedemptions
2535,MinorityInterestInNetIncomeLossLimitedPartnerships
2536,MinorityInterestInNetIncomeLossOfConsolidatedEntities
2537,MinorityInterestIncreaseFromStockIssuance
2538,MinorityInterestOwnershipPercentageByNoncontrollingOwners
2539,MinorityInterestOwnershipPercentageByParent
2540,MinorityInterestPeriodIncreaseDecrease
2541,MoneyMarketFundsAtCarryingValue
2542,MortgageBackedSecuritiesAvailableForSaleFairValueDisclosure
2543,MortgageLoansOnRealEstateCostOfMortgagesSold
2544,MortgagesHeldForSaleFairValueDisclosure
2545,MultiemployerPlanCollectiveBargainingArrangementPercentageOfContributionsRequiredForMultipleCollectiveBargainingArrangements
2546,MultiemployerPlanCollectiveBargainingArrangementRequiredPercentageOfContributions
2547,MultiemployerPlanContributionsByEmployer
2548,MultiemployerPlanEmployerContributionCost
2549,MultiemployerPlanPensionInsignificantEmployerContributionCost
2550,MultiemployerPlanPeriodContributions
2551,MultiemployerPlansCollectiveBargainingArrangementPercentageOfContributions
2552,MultiemployerPlansCollectiveBargainingArrangementPercentageOfEmployersContributions
2553,MunicipalDebtSecuritiesAtCarryingValue
2554,NetCashProvidedByUsedInContinuingOperations
2555,NetCashProvidedByUsedInDiscontinuedOperations
2556,NetCashProvidedByUsedInFinancingActivities
2557,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations
2558,NetCashProvidedByUsedInInvestingActivities
2559,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations
2560,NetCashProvidedByUsedInOperatingActivities
2561,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations
2562,NetCreditLossOnLoansManagedOrSecuritizedOrAssetbackedFinancingArrangement
2563,NetCreditLossesDuringPeriodOnLoansManagedOrSecuritized
2564,NetIncomeLoss
2565,NetIncomeLossAttributableToNoncontrollingInterest
2566,NetIncomeLossAttributableToNonredeemableNoncontrollingInterest
2567,NetIncomeLossAttributableToParentDiluted
2568,NetIncomeLossAttributableToRedeemableNoncontrollingInterest
2569,NetIncomeLossAvailableToCommonStockholdersBasic
2570,NetIncomeLossAvailableToCommonStockholdersDiluted
2571,NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersBasic
2572,NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersDiluted
2573,NetIncomeLossFromDiscontinuedOperationsAvailableToCommonShareholdersBasic
2574,NetIncomeLossFromDiscontinuedOperationsAvailableToCommonShareholdersDiluted
2575,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest
2576,NetInvestmentHedgeDerivativeLiabilitiesAtFairValue
2577,NetInvestmentInLease
2578,NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent
2579,NetRentableArea
2580,NewAccountingPronouncementOrChangeInAccountingPrincipleCumulativeEffectOfChangeOnEquityOrNetAssets
2581,NewAccountingPronouncementOrChangeInAccountingPrincipleCumulativeEffectOfChangeOnEquityOrNetAssets1
2582,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfAdoptionQuantification
2583,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnBasicEarningsPerShare
2584,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnDilutedEarningsPerShare
2585,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnIncomeFromContinuingOperations
2586,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnNetIncome
2587,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnNetRevenue
2588,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnOperatingResults
2589,NoncashContributionExpense
2590,NoncashMergerRelatedCosts
2591,NoncashOrPartNoncashAcquisitionDebtAssumed1
2592,NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1
2593,NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired
2594,NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1
2595,NoncashOrPartNoncashAcquisitionInventoryAcquired1
2596,NoncashOrPartNoncashAcquisitionInvestmentsAcquired1
2597,NoncashOrPartNoncashAcquisitionNetNonmonetaryAssetsAcquiredLiabilitiesAssumed
2598,NoncashOrPartNoncashAcquisitionNetNonmonetaryAssetsAcquiredLiabilitiesAssumed1
2599,NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationSharesIssued
2600,NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationSharesIssued1
2601,NoncashOrPartNoncashAcquisitionOtherAssetsAcquired1
2602,NoncashOrPartNoncashAcquisitionOtherLiabilitiesAssumed1
2603,NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired
2604,NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1
2605,NoncashOrPartNoncashAcquisitionValueOfLiabilitiesAssumed
2606,NoncashOrPartNoncashAcquisitionValueOfLiabilitiesAssumed1
2607,NoncashOrPartNoncashDivestitureAmountOfConsiderationReceived1
2608,NoncashProjectAbandonmentCosts
2609,NoncontrollingInterestDecreaseFromDeconsolidation
2610,NoncontrollingInterestInVariableInterestEntity
2611,NoncontrollingInterestIncreaseFromBusinessCombination
2612,NoncontrollingInterestIncreaseFromSaleOfParentEquityInterest
2613,NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance
2614,NoncurrentAssets
2615,NonfinancialLiabilitiesFairValueDisclosure
2616,NoninterestBearingDepositLiabilities
2617,NoninterestBearingDepositLiabilitiesDomestic
2618,NoninterestBearingDepositLiabilitiesForeign
2619,NoninterestExpense
2620,NoninterestIncome
2621,NoninterestIncomeOther
2622,NoninterestIncomeOtherOperatingIncome
2623,NonmonetaryTransactionGainLossRecognizedOnTransfer
2624,NonoperatingGainsLosses
2625,NonoperatingIncomeExpense
2626,NontradeReceivablesCurrent
2627,NotesAndLoansPayable
2628,NotesAndLoansPayableCurrent
2629,NotesAndLoansReceivableGrossCurrent
2630,NotesAndLoansReceivableNetCurrent
2631,NotesAndLoansReceivableNetNoncurrent
2632,NotesIssued1
2633,NotesPayable
2634,NotesPayableCurrent
2635,NotesPayableRelatedPartiesClassifiedCurrent
2636,NotesPayableRelatedPartiesCurrentAndNoncurrent
2637,NotesPayableRelatedPartiesNoncurrent
2638,NotesReceivableFairValueDisclosure
2639,NotesReceivableGross
2640,NotesReceivableNet
2641,NotesReceivableRelatedPartiesNoncurrent
2642,NotionalAmountOfCashFlowHedgeInstruments
2643,NotionalAmountOfDerivativeInstrumentsDesignatedAsNetInvestmentHedges
2644,NotionalAmountOfDerivatives
2645,NotionalAmountOfFairValueHedgeInstruments
2646,NotionalAmountOfForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments
2647,NotionalAmountOfForeignCurrencyDerivativePurchaseContracts
2648,NotionalAmountOfForeignCurrencyDerivativeSaleContracts
2649,NotionalAmountOfForeignCurrencyDerivatives
2650,NotionalAmountOfForeignCurrencyFairValueHedgeDerivatives
2651,NotionalAmountOfInterestRateCashFlowHedgeDerivatives
2652,NotionalAmountOfInterestRateDerivatives
2653,NotionalAmountOfInterestRateFairValueHedgeDerivatives
2654,NotionalAmountOfNetInvestmentHedgeInstruments
2655,NotionalAmountOfOtherDerivativesNotDesignatedAsHedgingInstruments
2656,NotionalAmountOfPriceRiskCashFlowHedgeDerivatives
2657,NotionalAmountOfPriceRiskDerivativeInstrumentsNotDesignatedAsHedgingInstruments
2658,NumberOfBusinessesAcquired
2659,NumberOfCountriesInWhichEntityOperates
2660,NumberOfCreditRiskDerivativesHeld
2661,NumberOfForeignCurrencyDerivativesHeld
2662,NumberOfInterestRateDerivativesHeld
2663,NumberOfOperatingSegments
2664,NumberOfReportableSegments
2665,NumberOfReportingUnits
2666,NumberOfStatesInWhichEntityOperates
2667,NumberOfStores
2668,ObligationToReturnSecuritiesReceivedAsCollateral
2669,OccupancyNet
2670,OciBeforeReclassificationsBeforeTaxAttributableToParent
2671,OciBeforeReclassificationsNetOfTaxAttributableToParent
2672,OciLiabilityForFuturePolicyBenefitGainLossBeforeReclassificationAdjustmentAndTax
2673,OciLiabilityForFuturePolicyBenefitGainLossBeforeReclassificationAdjustmentTax
2674,OffBalanceSheetCreditLossLiability
2675,OffBalanceSheetCreditLossLiabilityChangeInMethodCreditLossExpenseReversal
2676,OffBalanceSheetCreditLossLiabilityCreditLossExpenseReversal
2677,OilAndGasRevenue
2678,OperatingCostsAndExpenses
2679,OperatingExpenses
2680,OperatingIncomeLoss
2681,OperatingLeaseCost
2682,OperatingLeaseExpense
2683,OperatingLeaseImpairmentLoss
2684,OperatingLeaseLeaseIncome
2685,OperatingLeaseLeaseIncomeLeasePayments
2686,OperatingLeaseLiability
2687,OperatingLeaseLiabilityCurrent
2688,OperatingLeaseLiabilityNoncurrent
2689,OperatingLeasePayments
2690,OperatingLeasePaymentsUse
2691,OperatingLeaseRightOfUseAsset
2692,OperatingLeaseRightOfUseAssetAmortizationExpense
2693,OperatingLeaseVariableLeaseIncome
2694,OperatingLeaseWeightedAverageDiscountRatePercent
2695,OperatingLeasesFutureMinimumPaymentsDue
2696,OperatingLeasesFutureMinimumPaymentsDueCurrent
2697,OperatingLeasesFutureMinimumPaymentsDueFutureMinimumSubleaseRentals
2698,OperatingLeasesFutureMinimumPaymentsDueInFiveYears
2699,OperatingLeasesFutureMinimumPaymentsDueInFourAndFiveYears
2700,OperatingLeasesFutureMinimumPaymentsDueInFourYears
2701,OperatingLeasesFutureMinimumPaymentsDueInRollingAfterYearFive
2702,OperatingLeasesFutureMinimumPaymentsDueInRollingYearFive
2703,OperatingLeasesFutureMinimumPaymentsDueInRollingYearFour
2704,OperatingLeasesFutureMinimumPaymentsDueInRollingYearFourAndFive
2705,OperatingLeasesFutureMinimumPaymentsDueInRollingYearThree
2706,OperatingLeasesFutureMinimumPaymentsDueInRollingYearTwo
2707,OperatingLeasesFutureMinimumPaymentsDueInRollingYearTwoAndThree
2708,OperatingLeasesFutureMinimumPaymentsDueInThreeYears
2709,OperatingLeasesFutureMinimumPaymentsDueInTwoAndThreeYears
2710,OperatingLeasesFutureMinimumPaymentsDueInTwoYears
2711,OperatingLeasesFutureMinimumPaymentsDueThereafter
2712,OperatingLeasesFutureMinimumPaymentsNextRollingTwelveMonths
2713,OperatingLeasesFutureMinimumPaymentsReceivable
2714,OperatingLeasesFutureMinimumPaymentsReceivableCurrent
